county,r,p-value,abs r
Alabama Franklin County,0.3090155021617461,0.41844534971572234,0.3090155021617461
Georgia Fannin County,0.4163439098273703,0.2649944069047172,0.4163439098273703
Iowa Kossuth County,-0.38077573532967135,0.31200723894727733,0.38077573532967135
Oklahoma Ottawa County,-0.21014885579914158,0.5873322285650882,0.21014885579914158
Pennsylvania Susquehanna County,0.018412232893964552,0.9625015021808587,0.018412232893964552
Oklahoma Grant County,-0.41305172125657125,0.26917871762965556,0.41305172125657125
Nebraska Chase County,-0.4373488108487449,0.2391149463141756,0.4373488108487449
Missouri Taney County,-0.009952106787168664,0.9797274078392049,0.009952106787168664
Nevada Carson City,0.3311327354330481,0.3840596237285816,0.3311327354330481
Florida Hardee County,0.7579446357852767,0.017962150100279496,0.7579446357852767
Arkansas Cleburne County,0.012004702976349039,0.9755471567202372,0.012004702976349039
Texas Bailey County,0.12107625406138478,0.7563388230381451,0.12107625406138478
Utah San Juan County,0.6027984907808581,0.08576695242887647,0.6027984907808581
Nebraska Polk County,-0.13256356692142215,0.7338672821980688,0.13256356692142215
Pennsylvania Lebanon County,-0.0495597824427914,0.8992440626954993,0.0495597824427914
New Mexico Los Alamos County,-0.32949957127191004,0.523637521959052,0.32949957127191004
Oklahoma Stephens County,-0.6604287746235089,0.05284556427160918,0.6604287746235089
Oklahoma Lincoln County,-0.19809487478053062,0.6094092874611079,0.19809487478053062
Iowa Cedar County,-0.3215152016747354,0.3988452453552849,0.3215152016747354
Iowa Franklin County,-0.4059054530029984,0.2783798769549008,0.4059054530029984
Kansas Pratt County,-0.17690350886474562,0.6488817621290461,0.17690350886474562
Mississippi Neshoba County,-0.21146136391590653,0.5849456362760455,0.21146136391590653
Missouri Polk County,0.05048623958684855,0.8973684847632118,0.05048623958684855
Minnesota Murray County,-0.36755480815745084,0.33047988781130433,0.36755480815745084
Missouri Macon County,-0.14309724440602886,0.7134133847676134,0.14309724440602886
Wisconsin Fond du Lac County,-0.050252835848069596,0.8978409608077292,0.050252835848069596
Tennessee Trousdale County,0.3708356710040824,0.325846288884499,0.3708356710040824
Texas Midland County,0.11864763488607337,0.7611105679415094,0.11864763488607337
Texas Johnson County,-0.30314566793507186,0.4277961998239426,0.30314566793507186
Texas Gillespie County,-0.21001368950861082,0.5875782035089009,0.21001368950861082
Wisconsin Waushara County,-0.14709133972645697,0.705698209194036,0.14709133972645697
Arizona Mohave County,0.07486559273196378,0.8481956250367634,0.07486559273196378
Florida Charlotte County,0.6509103489568422,0.0576042395788906,0.6509103489568422
Kansas Decatur County,-0.18411976568668983,0.6353495012238314,0.18411976568668983
Kentucky Cumberland County,0.652331837758478,0.05687699647601617,0.652331837758478
South Dakota Miner County,-0.29211176451254345,0.4456217812916237,0.29211176451254345
Oregon Josephine County,0.24276462938557453,0.5290930973219738,0.24276462938557453
Oregon Curry County,0.13328852828244483,0.7324547798766842,0.13328852828244483
New Mexico Cibola County,0.031191549846743993,0.9365085919710094,0.031191549846743993
Michigan Alcona County,-0.025174442624666445,0.9487421238655059,0.025174442624666445
California Trinity County,0.24579643400832374,0.523797342294624,0.24579643400832374
Alabama Morgan County,0.30802919573435683,0.4200100823109235,0.30802919573435683
Nebraska Seward County,-0.12009456563412244,0.7582667930015433,0.12009456563412244
Oklahoma Woodward County,0.1949158865158527,0.6152782624872305,0.1949158865158527
Ohio Hancock County,0.2505145214678765,0.5155978647249816,0.2505145214678765
New York Montgomery County,-0.26768742645836974,0.4861942718818337,0.26768742645836974
Indiana Rush County,0.36960012346479404,0.32758745157953334,0.36960012346479404
Missouri Montgomery County,-0.1396200272386432,0.7201485104929602,0.1396200272386432
Kansas Kiowa County,-0.37640251907521843,0.31805875640836945,0.37640251907521843
Mississippi Prentiss County,0.2548553758661292,0.5080994778631318,0.2548553758661292
Illinois Washington County,-0.019502109619244805,0.9602832183368996,0.019502109619244805
Nebraska Thomas County,-0.28775589461734874,0.452746525539165,0.28775589461734874
Missouri Bollinger County,0.028761266953083467,0.9414484029712342,0.028761266953083467
Georgia Heard County,0.30373617255249225,0.46455197957104294,0.30373617255249225
Texas Collin County,-0.14232000603710693,0.7149173721061601,0.14232000603710693
Texas Crosby County,-0.1506036650762156,0.6989327359427253,0.1506036650762156
Texas Coke County,0.40060351016993245,0.28531058946221155,0.40060351016993245
Kentucky Monroe County,0.2298686817551393,0.5518481502863017,0.2298686817551393
Florida Baker County,0.0669164676936574,0.8641865507293011,0.0669164676936574
