State County,Year,State,Salary,Previous Year Salary,Salary change,pcp,anomaly_pcp,tmax,anomaly_tmax,tmin,anomaly_tmin,tavg,anomaly_tavg,Fires,Tornados,Floods,Hurricanes,Severe Storms
Alabama Autauga County,2012, Alabama,28.27896649172386,28.27896649172386,0.0,71.08,17.35,75.2,-0.5,52.0,-0.2,63.5,-0.4,0,0,0,0,0
Alabama Autauga County,2013, Alabama,28.82144268774704,28.27896649172386,1.8821965364481972,32.63,2.17,52.4,-0.7,31.7,-0.5,42.0,-0.6,0,0,0,0,0
Alabama Autauga County,2014, Alabama,29.519309939227604,28.82144268774704,2.364104218280473,48.8,4.43,62.6,-1.8,40.5,0.3,51.6,-0.7,0,0,0,0,0
Alabama Autauga County,2015, Alabama,30.74736942797016,29.519309939227604,3.994031071892009,112.67,4.91,52.5,-0.2,36.4,-0.8,44.4,-0.5,0,0,0,0,0
Alabama Autauga County,2016, Alabama,30.815291936978685,30.74736942797016,0.2204181909015801,45.06,0.19,68.7,0.3,43.6,-0.5,56.2,-0.1,0,0,0,0,1
Alabama Autauga County,2017, Alabama,32.705328017397605,30.815291936978685,5.778985244891948,50.31,5.41,63.0,0.3,39.7,0.3,51.4,0.3,0,0,0,1,0
Alabama Autauga County,2018, Alabama,32.8038080196543,32.705328017397605,0.3002090556001577,38.35,-5.09,68.1,-0.8,43.2,-2.2,55.6,-1.5,0,0,0,2,0
Alabama Autauga County,2019, Alabama,33.51476976542137,32.8038080196543,2.121338594128139,49.11,3.25,62.4,-0.3,40.7,0.1,51.5,-0.1,0,0,0,0,0
Alabama Autauga County,2020, Alabama,34.246338215712385,33.51476976542137,2.136194666077809,31.71,4.88,54.6,-0.7,32.6,-1.4,43.6,-1.1,0,0,0,1,0
Alabama Baldwin County,2012, Alabama,30.03830926435655,30.03830926435655,0.0,56.9,-5.37,77.9,0.6,56.6,0.4,67.3,0.5,0,0,0,1,0
Alabama Baldwin County,2013, Alabama,30.351494871608352,30.03830926435655,1.0318622149473304,32.54,0.59,55.5,0.1,33.8,-0.1,44.7,0.0,0,0,0,0,0
Alabama Baldwin County,2014, Alabama,30.943040101891,30.351494871608352,1.91172305091798,51.82,7.82,63.9,-1.3,41.7,0.2,52.8,-0.6,0,0,0,0,1
Alabama Baldwin County,2015, Alabama,32.05911530882653,30.943040101891,3.481303823216394,75.75,2.79,54.4,-0.5,38.8,-0.3,46.6,-0.4,0,0,0,0,0
Alabama Baldwin County,2016, Alabama,31.95507083353711,32.05911530882653,-0.3255961341203512,46.13,1.21,68.5,0.0,49.7,0.2,59.1,0.1,0,0,0,0,0
Alabama Baldwin County,2017, Alabama,33.78264176592439,31.95507083353711,5.409792831035191,53.3,7.17,70.1,0.1,47.5,0.8,58.8,0.4,0,0,0,1,0
Alabama Baldwin County,2018, Alabama,34.38232277713895,33.78264176592439,1.7441550272842414,40.89,-2.63,66.6,-0.7,45.1,-1.9,55.9,-1.3,0,0,0,2,0
Alabama Baldwin County,2019, Alabama,35.36907459304752,34.38232277713895,2.7898717375617577,48.41,4.83,69.5,0.7,49.1,0.8,59.3,0.8,0,0,0,1,0
Alabama Baldwin County,2020, Alabama,36.9505101354884,35.36907459304752,4.279874720652422,38.55,0.36,52.4,-1.0,30.4,-1.5,41.4,-1.3,0,0,0,2,0
Alabama Barbour County,2012, Alabama,30.891363311920056,30.891363311920056,0.0,66.5,13.98,76.6,0.2,53.3,0.2,65.0,0.2,0,0,0,0,0
Alabama Barbour County,2013, Alabama,32.182271970957494,30.891363311920056,4.011241531369827,34.7,3.56,49.5,-0.8,27.3,-0.7,38.4,-0.8,0,0,0,0,0
Alabama Barbour County,2014, Alabama,31.63663014966826,32.182271970957494,-1.7247153654099134,48.1,7.69,61.4,-1.9,40.9,-0.2,51.1,-1.1,0,0,0,0,0
Alabama Barbour County,2015, Alabama,35.37852035604845,31.63663014966826,10.576728955088871,49.78,7.58,58.6,-0.5,42.0,-0.1,50.3,-0.3,0,0,0,0,0
Alabama Barbour County,2016, Alabama,34.04418842059209,35.37852035604845,-3.9194117920263474,47.17,2.22,68.1,0.1,50.9,0.3,59.5,0.2,0,0,0,0,1
Alabama Barbour County,2017, Alabama,34.69066432543166,34.04418842059209,1.8635443206708464,58.39,15.99,66.4,-0.3,43.6,0.6,55.0,0.2,0,0,0,1,0
Alabama Barbour County,2018, Alabama,35.54885386819484,34.69066432543166,2.4141131130277884,42.68,-7.63,64.0,-2.0,39.2,-4.4,51.6,-3.2,0,0,0,1,0
Alabama Barbour County,2019, Alabama,35.40591904830988,35.54885386819484,-0.4037031765505879,42.21,-0.27,67.6,0.6,45.4,0.6,56.6,0.6,0,0,0,1,0
Alabama Barbour County,2020, Alabama,35.3171256454389,35.40591904830988,-0.2514174108120007,42.97,-2.6,51.6,-0.8,29.4,-1.3,40.5,-1.0,0,0,0,2,1
Alabama Bibb County,2012, Alabama,35.39897435897436,35.39897435897436,0.0,76.06,20.63,74.2,-0.6,50.8,0.1,62.5,-0.2,0,0,0,0,0
Alabama Bibb County,2013, Alabama,36.483942766295705,35.39897435897436,2.9738244418134947,32.56,1.58,52.6,-0.1,31.0,0.0,41.8,0.0,0,0,0,0,0
Alabama Bibb County,2014, Alabama,35.00642523364486,36.483942766295705,-4.220703835908367,51.37,6.49,60.8,-1.8,40.3,-0.2,50.6,-1.0,0,0,0,0,0
Alabama Bibb County,2015, Alabama,37.12861736334405,35.00642523364486,5.7157855056417,36.07,2.88,54.3,-0.2,34.7,0.6,44.5,0.2,0,0,0,0,0
Alabama Bibb County,2016, Alabama,39.891349276646,37.12861736334405,6.925641682717819,48.07,1.14,62.4,-0.5,41.9,-0.7,52.1,-0.6,0,0,0,0,0
Alabama Bibb County,2017, Alabama,39.097588978186,39.891349276646,-2.0302026779780946,53.28,11.98,65.7,-0.2,45.0,1.1,55.4,0.4,0,0,0,1,0
Alabama Bibb County,2018, Alabama,41.253481102585965,39.097588978186,5.2259641290364405,39.6,-0.46,62.8,-0.9,40.8,-2.0,51.8,-1.4,0,0,0,1,0
Alabama Bibb County,2019, Alabama,41.558592761326246,41.253481102585965,0.7341722576906218,49.6,6.45,69.2,0.7,47.1,0.7,58.2,0.7,0,0,0,0,0
Alabama Bibb County,2020, Alabama,41.88479604449938,41.558592761326246,0.7788107236491497,38.6,-1.77,50.4,-0.9,27.4,-1.7,38.9,-1.3,0,0,0,1,0
Alabama Blount County,2012, Alabama,29.924410646387837,29.924410646387837,0.0,65.94,10.12,72.8,0.1,48.5,0.0,60.7,0.1,0,0,0,0,0
Alabama Blount County,2013, Alabama,28.987937628714327,29.924410646387837,-3.2305610342761075,29.26,-0.81,53.6,0.0,34.7,0.1,44.1,0.0,0,0,0,0,0
Alabama Blount County,2014, Alabama,29.54328265591064,28.987937628714327,1.879767504729903,62.07,11.55,56.0,-2.0,36.4,0.4,46.2,-0.8,0,0,0,0,1
Alabama Blount County,2015, Alabama,29.666871542716656,29.54328265591064,0.4165888763433052,26.92,4.4,58.4,0.2,37.2,0.6,47.8,0.4,0,0,0,0,0
