Site,Date,Sample,"Depth of Snow
Inches","Lenth of Core
Inches","Weight of Tube
and core","Weight of 
Empty Tube","Water Content
Inches","Density 
Percent",Longitude,Latitude,Altitude
Mt. Seattle,2/8/2016,1,118.5,98,146,96,50,0.421940928,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,2,108,97.5,138,96,42,0.388888889,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,3,114,108,144,96,48,0.421052632,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,4,112,106,144,96,48,0.428571429,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,5,102,94.5,136,96,40,0.392156863,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,6,116,87,145,96,49,0.422413793,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,7,109,103,142,96,46,0.422018349,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,8,106,100,142,96,46,0.433962264,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,9,104.5,69.5,140,96,44,0.421052632,47.714026,-123.5885208,4489
Mt. Seattle,2/8/2016,10,112,83.5,145,96,49,0.4375,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,1,106.5,77.5,132,80,52,0.488262911,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,2,120.5,116,141,80,61,0.506224066,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,3,143.5,133,158,80,78,0.543554007,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,4,133,111.5,148,80,68,0.511278195,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,5,114,83,136,80,56,0.49122807,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,6,124,94,144,80,64,0.516129032,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,7,146,136.5,173,97,76,0.520547945,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,8,128.5,85,157,97,60,0.46692607,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,9,133,108.5,165,97,68,0.511278195,47.714026,-123.5885208,4489
Mt. Seattle,4/7/2016,10,116,107,156,97,59,0.50862069,47.714026,-123.5885208,4489
Anderson Pass,2/8/2016,1,44,40,118,98,20,0.454545455,47.697502,-123.3282532,4639
